OrderID,OrderLine,OrderDate,ProductID,Quantity,UnitPrice,DiscountPct,GrossSales,DiscountAmount,Revenue,COGS,ShippingCost,VariableSalesCost,TotalCost,Profit,CustomerSegment,SalesChannel
SO-202501-000001,1,2025-01-02,1049,1,99.19,0.0345,99.19,3.42,95.76,53.24,5.10,6.89,65.23,30.53,Small Business,Direct Sales
SO-202501-000002,1,2025-01-05,1005,1,329.96,0.0215,329.96,7.11,322.86,223.80,8.70,17.76,250.26,72.60,Small Business,Online
SO-202501-000003,1,2025-01-15,1011,1,1096.71,0.0305,1096.71,33.44,1063.27,815.68,8.70,58.48,882.86,180.41,Small Business,Online
SO-202501-000004,1,2025-01-02,1007,1,554.09,0.0469,554.09,26.01,528.09,384.98,8.70,29.04,422.73,105.36,Mid-Market,Online
SO-202501-000004,2,2025-01-02,1043,2,59.24,0.0547,118.49,6.48,112.01,56.02,5.70,6.16,67.88,44.13,Mid-Market,Online
SO-202501-000005,1,2025-01-16,1045,3,38.51,0.0507,115.53,5.86,109.68,53.79,6.30,6.03,66.12,43.55,Mid-Market,Online
SO-202501-000006,1,2025-01-11,1031,3,137.70,0.0219,413.11,9.06,404.05,260.01,7.10,22.22,289.33,114.72,Small Business,Online
SO-202501-000007,1,2025-01-01,1038,1,49.39,0.0958,49.39,4.73,44.65,24.11,3.37,3.17,30.65,14.01,Enterprise,Partner
SO-202501-000008,1,2025-01-06,1025,3,33.51,0.0446,100.53,4.48,96.05,56.47,7.10,6.92,70.49,25.56,Small Business,Direct Sales
SO-202501-000009,1,2025-01-31,1005,1,328.34,0.0202,328.34,6.63,321.71,224.64,8.70,17.69,251.03,70.68,Small Business,Online
SO-202501-000010,1,2025-01-03,1024,1,119.22,0.0561,119.22,6.69,112.53,66.33,24.50,8.10,98.94,13.59,Mid-Market,Direct Sales
SO-202501-000011,1,2025-01-21,1027,3,90.01,0.0813,270.04,21.94,248.09,171.53,4.69,17.61,193.83,54.26,Enterprise,Partner
SO-202501-000012,1,2025-01-18,1023,1,129.14,0.0424,129.14,5.48,123.66,74.60,18.38,8.04,101.01,22.65,Small Business,Partner
SO-202501-000012,2,2025-01-18,1007,1,552.98,0.0450,552.98,24.89,528.09,382.51,6.52,34.33,423.36,104.73,Small Business,Partner
SO-202501-000013,1,2025-01-15,1022,1,160.77,0.0833,160.77,13.40,147.38,95.15,21.56,11.50,128.20,19.17,Enterprise,Direct Sales
SO-202501-000013,2,2025-01-15,1030,3,28.86,0.0780,86.58,6.75,79.83,43.66,6.25,6.23,56.13,23.70,Enterprise,Direct Sales
SO-202501-000013,3,2025-01-15,1005,1,324.86,0.0763,324.86,24.80,300.06,223.36,7.66,23.40,254.42,45.64,Enterprise,Direct Sales
SO-202501-000014,1,2025-01-29,1016,1,221.03,0.0768,221.03,16.96,204.07,139.12,21.56,12.45,173.13,30.93,Enterprise,Online
SO-202501-000014,2,2025-01-29,1034,8,160.59,0.0777,1284.70,99.84,1184.86,765.69,9.33,72.28,847.30,337.56,Enterprise,Online
SO-202501-000015,1,2025-01-13,1010,1,645.95,0.0929,645.95,59.98,585.97,470.43,5.74,41.60,517.78,68.19,Enterprise,Partner
SO-202501-000015,2,2025-01-13,1018,3,178.01,0.0848,534.03,45.27,488.76,333.82,20.79,34.70,389.31,99.45,Enterprise,Partner
SO-202501-000016,1,2025-01-26,1038,1,49.00,0.0652,49.00,3.20,45.80,23.96,5.10,3.30,32.36,13.44,Mid-Market,Direct Sales
SO-202501-000017,1,2025-01-18,1043,2,58.21,0.0284,116.42,3.30,113.12,55.74,5.70,6.22,67.66,45.46,Small Business,Online
SO-202501-000018,1,2025-01-10,1020,1,328.40,0.0396,328.40,13.00,315.40,213.68,24.50,22.71,260.89,54.51,Small Business,Direct Sales
SO-202501-000018,2,2025-01-10,1030,10,28.80,0.0480,288.04,13.83,274.21,144.72,12.00,19.74,176.47,97.75,Small Business,Direct Sales
SO-202501-000018,3,2025-01-10,1008,1,598.59,0.0279,598.59,16.73,581.87,442.50,8.70,41.89,493.10,88.77,Small Business,Direct Sales
SO-202501-000019,1,2025-01-05,1025,3,34.42,0.0332,103.25,3.43,99.82,56.72,7.10,5.49,69.31,30.51,Small Business,Online
SO-202501-000019,2,2025-01-05,1036,1,31.21,0.0250,31.21,0.78,30.43,15.66,5.70,1.67,23.03,7.40,Small Business,Online
SO-202501-000020,1,2025-01-28,1032,3,117.80,0.0210,353.41,7.43,345.98,211.46,7.10,19.03,237.58,108.39,Small Business,Online
SO-202501-000021,1,2025-01-25,1036,2,31.03,0.0493,62.05,3.06,58.99,31.17,6.40,4.25,41.82,17.18,Mid-Market,Direct Sales
SO-202501-000022,1,2025-01-18,1012,1,220.92,0.0224,220.92,4.96,215.96,134.22,8.70,11.88,154.79,61.16,Small Business,Online
SO-202501-000022,2,2025-01-18,1042,1,148.97,0.0243,148.97,3.62,145.35,86.30,5.10,7.99,99.39,45.96,Small Business,Online
SO-202501-000023,1,2025-01-08,1005,2,333.19,0.0704,666.38,46.93,619.45,451.95,8.71,37.79,498.45,121.01,Enterprise,Online
SO-202501-000024,1,2025-01-28,1008,2,593.82,0.0206,1187.65,24.43,1163.22,875.54,9.90,63.98,949.42,213.80,Small Business,Online
SO-202501-000025,1,2025-01-05,1041,1,68.12,0.0599,68.12,4.08,64.04,34.84,5.10,3.52,43.46,20.59,Mid-Market,Online
SO-202501-000026,1,2025-01-10,1006,2,189.29,0.0274,378.59,10.37,368.22,250.44,9.90,26.51,286.85,81.37,Small Business,Direct Sales
SO-202501-000026,2,2025-01-10,1015,3,423.93,0.0453,1271.78,57.55,1214.22,869.02,31.50,87.42,987.94,226.28,Small Business,Direct Sales
SO-202501-000027,1,2025-01-19,1005,1,332.71,0.0501,332.71,16.67,316.05,225.88,8.70,22.76,257.34,58.71,Mid-Market,Direct Sales
SO-202501-000027,2,2025-01-19,1010,1,641.18,0.0518,641.18,33.23,607.95,468.36,8.70,43.77,520.83,87.12,Mid-Market,Direct Sales
SO-202501-000028,1,2025-01-07,1025,5,33.86,0.0610,169.28,10.33,158.95,94.34,8.50,8.74,111.58,47.37,Mid-Market,Online
SO-202501-000029,1,2025-01-27,1008,1,602.04,0.0346,602.04,20.83,581.21,436.79,8.70,41.85,487.33,93.88,Small Business,Direct Sales
SO-202501-000030,1,2025-01-02,1014,2,805.83,0.0333,1611.66,53.67,1557.99,1143.71,28.00,85.69,1257.40,300.59,Small Business,Online
SO-202501-000030,2,2025-01-02,1048,1,33.92,0.0417,33.92,1.41,32.51,15.32,5.10,1.79,22.21,10.30,Small Business,Online
SO-202501-000031,1,2025-01-21,1016,2,220.97,0.0311,441.95,13.76,428.19,274.57,28.00,23.55,326.12,102.06,Small Business,Online
SO-202501-000032,1,2025-01-10,1025,4,34.25,0.0314,137.00,4.30,132.70,75.23,7.80,9.55,92.59,40.12,Small Business,Direct Sales
SO-202501-000033,1,2025-01-03,1032,4,119.16,0.0355,476.64,16.93,459.71,280.68,7.80,33.10,321.58,138.13,Small Business,Direct Sales
SO-202501-000034,1,2025-01-01,1041,1,70.03,0.0683,70.03,4.78,65.25,34.49,3.82,4.24,42.55,22.70,Mid-Market,Partner
SO-202501-000035,1,2025-01-29,1013,1,635.87,0.0797,635.87,50.65,585.22,432.73,21.56,35.70,489.99,95.23,Enterprise,Online
SO-202501-000035,2,2025-01-29,1040,3,80.14,0.0718,240.43,17.26,223.17,124.63,5.54,13.61,143.79,79.39,Enterprise,Online
SO-202501-000036,1,2025-01-01,1048,3,34.39,0.0279,103.18,2.88,100.30,46.20,6.30,5.52,58.01,42.29,Small Business,Online
SO-202501-000037,1,2025-01-27,1005,3,329.36,0.0743,988.07,73.38,914.69,676.67,9.77,55.80,742.24,172.45,Enterprise,Online
SO-202501-000037,2,2025-01-27,1027,12,89.18,0.0709,1070.21,75.83,994.38,680.72,11.79,60.66,753.17,241.21,Enterprise,Online
SO-202501-000038,1,2025-01-22,1035,3,21.68,0.0432,65.05,2.81,62.24,31.68,7.10,3.42,42.20,20.05,Mid-Market,Online
SO-202501-000039,1,2025-01-31,1010,3,642.58,0.0210,1927.73,40.56,1887.17,1400.13,11.10,103.79,1515.02,372.15,Small Business,Online
